[H]O[H]
[H]C([H])=C([H])C([H])=C([H])[H]
[H]OC([H])([H])O[H]
[H]OC([H])(C([H])([H])[H])C([H])([H])[H]
[H]C([H])([H])C([H])([O])C([H])([H])[H]
[H][C](C([H])=C([H])[H])C([H])([H])[H]
[H]C([H])([H])C([H])([H])O[O]
[H]C([H])=C=C([H])C([H])([H])[H]
[H]C([H])([H])[O-]
[H]C([H])=S
[H]C([H])=[C]C([H])([H])[H]
[H]N([H])N([H])N([H])[H]
[H]N([H])C([H])([H])[H]
[H]SC([H])([H])[H]
[H]C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]
[H]C([H])=C([H])C#CC([H])([H])[H]
O=S=O
[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[Br-]
[H]N([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]N([H])N=O
[H]C(=C([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[H]
[H][N-]
[H]C([H])([H])[C]C([H])([H])[H]
[H]C([H])=C([H])C(=C([H])[H])C([H])([H])[H]
II
[H]C([H])([H])[C]=O
[H]C([H])([H])C1([H])C([H])([H])C1([H])[H]
[H][C]C([H])([H])C([H])([H])[H]
[O]OCl
[Si]
[H]C([H])(Cl)Cl
[H]C([H])(F)F
[H]O[C]=O
[H]O[N+](=O)[O-]
[H][C]([H])N([H])[H]
[H][Si]([H])[H]
[H]OO[C]([H])C([H])([H])[H]
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]OOOC([H])([H])[H]
[H]C([H])([H])C([H])([H])F
[H]C([H])([H])[S]
[H]C([H])([H])F
[H]C([H])([H])C([H])([H])C([H])([H])Cl
[H]C([H])=C(C([H])([H])[H])C([H])([H])[H]
[H]C([H])([H])I
[H][C]=C=C([H])[H]
[H]C(=O)C([H])=C([H])[H]
[O][N+](=O)[O-]
[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
[H]C([H])([H])OC([H])([H])C1([H])OC1([H])[H]
[H]C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H][C]O[H]
[H]C([H])=C([H])C([H])=C([H])C([H])([H])[H]
[H][Si]([H])([H])[H]
[H]C([H])([H])C([H])([H])[C]
[H][C]([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]C([H])([H])C(=O)C([H])([H])[H]
[H]C([H])([H])C#N
[H]OOOO[H]
[H]C#CC#C[H]
[H]C#CC([H])([H])C([H])([H])C([H])([H])[H]
[H]C([H])([H])OC(=O)C([H])([H])[H]
[H]C([H])([H])C(=O)C([H])([H])C([H])([H])[H]
[H]C([H])=C([H])C#CC([H])([H])C([H])([H])[H]
[H]OC([H])([H])[C]([H])C([H])([H])[H]
[H]C1=C([H])C1([H])C1([H])C([H])=C1[H]
[H]C([H])([H])[C](C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[N]
[H]C([O])=O
[H]C([H])([H])C([H])(Cl)C([H])([H])[H]
[H]C([H])([H])C#CC([H])([H])[H]
[H]C([H])([H])[C](C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]
[H]C(=O)C([H])=O
[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])[H]
[H]C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
[H]ON([H])N([H])[H]
[H]N=C([H])[H]
[H]C([H])([H])[C](C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]C1=C([H])C2([H])C1([H])C1([H])C([H])([H])C21[H]
[H]C([H])([H])[C-]
[H][C]([H])F
[H]C#C[C]([H])[H]
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]
Cl[C](Cl)Cl
[H][C]([H])C#CC([H])([H])[H]
[H]N([H])[O]
[H][C]=C([H])O[H]
[H]N([H])[N]
[S]
[H]C1([H])OOC([H])([H])C1([H])[H]
[H]C([H])([H])C([H])(F)F
[H]N=[N]
[H]C([H])=C([H])C([H])([H])C([H])=C([H])[H]
[H]C([H])=C([H])[C]
[H][C]1C([H])=C([H])C([H])=C([H])C([H])=C1[H]
[H]C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])O[O]
[H]C(=C([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]
[H][C](F)F
[H][N]N([H])[H]
[H][C]([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]
[C-]=O
[H]OCl
O=C=S
[H]N=C=O
[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]C([H])([H])C(=O)O[O]
[H]SS[H]
[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H]
[H]C([H])([H])SC([H])([H])[H]
S=S
[H]N([H])N([H])C([H])([H])[H]
[H]C([H])([H])C1([H])OOC1([H])[H]
[H][C]1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
[H]N([H])C#N
[H]C([H])=C([H])Cl
[N+]=[N-]
[Cl-].[H][H]
[H]C(Cl)(Cl)Cl
[H]I
[H][C]1OC1([H])[H]
[H]OC([H])([H])C([H])=C([H])[H]
[H][S]([H])[H]
[H]OC(=O)C([H])([H])[H]
[H]OOC([H])([H])OC([H])([H])[H]
[H]C([H])([H])Br
[H]C([H])([H])C([H])([H])[C]C([H])([H])C([H])([H])C([H])([H])[H]
[C+].[Cl-]
[H]OOC([H])(C([H])([H])[H])C([H])([H])[H]
[H]C(=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[H]
[H]C([H])([H])OO[O]
[H]OOC([H])([H])O[H]
F[C]F
[H][C-]O[H]
[H][C](C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]C([H])=C(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]C([H])([H])[C](F)F
[H]SSC([H])([H])[H]
[H]OC([H])([H])C([H])=O
[H]OOC(=O)C([H])([H])[H]
[H]C([H])([H])C([H])([H])I
[H][Si]([H])=[Si]([H])[H]
[O-]
[H][C]1C([H])([H])C1([H])C([H])([H])[H]
[H][C]=C([H])C([H])([H])C([H])([H])[H]
[H]O[C]C([H])([H])[H]
[H]C#C[O]
[H]C1([H])OOOC1([H])[H]
[H]C1([H])OO1
[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]C1=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
[H]C(=C([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]
[H]O[C-]
[H]C([H])=C([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
[H]C([H])([H])C(O[O])(C([H])([H])[H])C([H])([H])[H]
[H][Si]
[H]C([H])=C=C([H])C([H])([H])C([H])([H])[H]
[C-]=[O+]
[H]C([H])([H])C([H])(Cl)Cl
[H]OOC([H])([H])[C]([H])[H]
[H]OOC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
S=C=S
[H]C#CC#CC([H])([H])[H]
[H]O[C]([H])O[H]
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])Cl
[H]C([H])([O])Cl
[H]C([O])=C([H])C([H])([H])[H]
[H]C([H])([H])C([H])([H])C([H])([H])C1([H])C([H])([H])C1([H])[H]
[H]C([H])(Cl)C([H])([H])Cl
[H][C]([H])C([H])([H])N([H])[H]
[H]C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
[H]N([H])C([H])([H])N([H])[H]
[H]C1([H])OC([H])([H])C([H])([H])C1([H])[H]
[H]OOOC([H])([H])C([H])([H])[H]
[H][C]([H])OC([H])([H])C([H])([H])[H]
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
[H][C]([H])C([H])=C([H])C([H])([H])[H]
[H]C([H])([H])[C](Cl)Cl
[H][N]C([H])([H])[H]
[H]C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
O=I
[H]OC([H])=C([H])C([H])([H])[H]
[H]C(=O)OC([H])([H])[H]
[H]OC([H])([H])OC([H])([H])[H]
[H]C(=[C]C([H])([H])[H])C([H])([H])[H]
[H]C([H])([H])[N]
[H]C([H])=C(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]OC([H])(OC([H])([H])[H])C([H])([H])[H]
[H]C(=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]
[H]C([H])=[C]
[H]C([H])([H])C1([H])OC([H])([H])C1([H])[H]
[H][C]([H])I
[H]OC([H])([H])C([H])([H])O[H]
O=C(F)F
[H]C([H])([H])[C](Cl)C([H])([H])[H]
[H][C](Cl)Cl
[H]C([H])([H])OC([H])([H])[O]
[H]C([H])([H])C([H])([H])C([H])(Cl)C([H])([H])[H]
[H]C([H])=C([H])C#N
[H]C([H])([H])C([H])([H])C([H])([H])[C]
[H]OOO[C]([H])[H]
[H]C#CN([H])[H]
[H]ON([H])O[H]
[C-].[H+]
[H]C([H])([H])C1([H])OO1
[H]OC([H])([H])C([H])([H])[C]([H])[H]
[H]N=NN([H])[H]
[H]N([H])N([H])C([H])([H])C([H])([H])[H]
[H]N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]N([H])[O-]
[H]C(=O)Cl
[H][C]([H])Cl
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[O]
[H]O[N+][O-]
[H]OBr
[H][C]C([H])([H])C([H])([H])C([H])([H])[H]
[H]SSS[H]
[H]OC([H])([H])[O]
[H][Si]=[Si]([H])[H]
[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]
[H]OC([H])(O[H])C([H])([H])[H]
[H]C([H])=C([H])C#CC([H])=C([H])C([H])([H])[H]
[H]C([H])([H])C([H])([H])[C]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]C([H])=[N]
[H]C([H])([H])C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C1([H])[H]
[H][C]=C=O
[H]C([H])([H])C([H])(F)C([H])([H])[H]
[H]C#CC([H])([H])OC([H])([H])C#C[H]
[H]C1=C([H])C([H])([H])C([H])=C1[H]
[H]O[C](C([H])([H])[H])C([H])([H])[H]
[H][C]([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]C([H])([H])N=O
[N][O-]
[H]c1c([H])c([H])c([O])c([H])c1[H]
[H]C([H])([H])[C]1C([H])([H])C1([H])[H]
[H]C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]
[H][C](C([H])=C([H])C([H])([H])[H])C([H])([H])[H]
[H]OON([H])[H]
[C]=O
[H]C([H])([H])[C](C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]OC([H])=C=C([H])[H]
[H]OOOOC([H])([H])[H]
[H]N([H])N([H])C([H])([H])C([H])([H])N([H])[H]
[H]C([H])([H])C([H])(I)C([H])([H])[H]
[H]C([H])([H])OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]OOOC([H])([H])C([H])([H])C([H])([H])[H]
[H]C([H])=C=S
[H]C([H])=C=C=C([H])[H]
[H]OC([H])([H])C(=O)OC([H])([H])[H]
[H]OC([H])=C([H])C([H])([H])C([H])([H])[H]
[H][Ge]([H])([H])[H]
[H]N=NC([H])([H])[H]
[H]C([H])=C=C=O
[H][C](C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])Cl
[H][C](F)C([H])([H])[H]
[H]C1=C([H])C(C([H])([H])[H])=C1[H]
O=S(=O)=O
[H]C#COC([H])([H])[H]
[H]C([H])=C([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
[H]C([H])([H])OC([H])([H])C([H])([H])[H]
[H]C([H])([H])C([H])(O[O])C([H])([H])[H]
[H]C([H])=C=C([H])C([H])([H])C([H])=C([H])[H]
[H]C([H])(Cl)C([H])(Cl)Cl
[H]OOC([H])([H])C([H])([H])O[H]
[H]C([H])([H])SC([H])([H])C([H])([H])[H]
[H]C([H])([H])[C]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[O][O-]
[H]C(=O)C([H])([H])C([H])=C([H])[H]
[H]N=NO[H]
[H]O[C]C([H])([H])C([H])([H])[H]
[H]OC([H])([H])O[O]
[H]C([H])([H])SSC([H])([H])[H]
[H+].[O-]
[H]C#C[C]([H])C([H])=C([H])[H]
[H]N([H])N([H])C([H])([H])N([H])[H]
[H]C([H])([H])[C](F)C([H])([H])[H]
[H]C(=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]
[H][C]([H])C(=C([H])[H])C([H])([H])C([H])([H])[H]
[H]C([H])(F)C([H])(F)F
[H][C](C([H])=C([H])[H])C([H])([H])C([H])([H])[H]
[H]SC([H])([H])C([H])([H])[H]
[H]OOC([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]
[H]C(=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[H]
[H]C([H])([H])C([H])([H])C([H])([H])[C]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]OOOOO[H]
[H]C([H])([H])[Si](C([H])([H])[H])C([H])([H])[H]
[H]OO[O-]
[H]C([H])(F)C([H])([H])F
[H][S-]
[H][C]([H])C#CC([H])([H])C([H])([H])[H]
[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]N([H])N([H])N([H])N([H])[H]
[H]OOC([H])([H])[C]([H])C([H])([H])[H]
[H]Cl
[H][C](Cl)C([H])([H])[H]
[H][C](C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]
[H]C([H])([H])C([H])([H])[C]=O
[H]OC([H])([H])C(=O)C([H])([H])[H]
[H][C]1OC([H])([H])C([H])([H])OC1([H])[H]
[H]C([H])=[C]C([H])([H])C([H])([H])[H]
[H]C(=O)C(=C([H])[H])C([H])([H])[H]
[H]SS([H])=O
FC(F)(F)F
[H][C]([H])C([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]
[H][C]([H])C([H])([H])OC([H])([H])[H]
[H]N=C([H])C([H])([H])[H]
[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])Cl
[H]OS[H]
[H][C]([H])[O]
[H]C(=S)C([H])([H])[H]
[H]OC(=O)OC([H])([H])[H]
[H]C([H])([H])[N]C([H])([H])[H]
III
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]C1=C([H])C([H])([H])C(C([H])([H])[H])=C1[H]
[H]C(=O)C([H])([H])OC([H])([H])[H]
[H]OC([H])([H])Cl
[H]OO[C]C([H])([H])[H]
[H]OOC([H])([H])C([H])=C([H])[H]
[H]OC([H])([H])C([H])([H])OC([H])([H])[H]
[H]O[C]([H])C([H])([H])C([H])([H])[H]
[H][C](C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H]
[O]C(F)(F)F
[H][C]OO[H]
[H]OO[C]C([H])([H])C([H])([H])[H]
[H]C([H])([H])II
[H]C([H])([H])C([H])([H])C([H])([H])F
[H]C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H]
[H]C([H])=C([H])C([H])([H])OC([H])([H])[H]
[H]C([H])([H])[C](C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
[H]N=C([H])N([H])[H]
[H]C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
[H][Ge]([H])[H]
[H]C([H])([H])C#CC([H])([H])C([H])([H])[H]
[Cl-].[H][C]
[H]C([H])([H])C([H])([H])C([H])([H])[H].[H]C([H])([H])[H]
[H][C]([H])OOC([H])([H])[H]
[H][C]F
[H][C]([H])C([H])=C([H])C([H])([H])C([H])([H])[H]
F[N]F
[H]C#CO[H]
[H]C1=C(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
[H][C]1C([H])=C([H])C([H])([H])C([H])([H])C1([H])[H]
[H][C]([H])Br
[H]C#CC#CC#C[H]
[H]C([H])([H])C([H])([H])C([H])(Cl)Cl
[H]C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C1([H])[H]
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])Cl
[H]C([H])=C([H])N([H])[H]
[H]C1=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
[H]C#CC([H])=C([H])C([H])([H])[H]
[H]C([H])([H])C([H])(Br)C([H])([H])[H]
[H]N([H])[N]C([H])([H])[H]
[H]OOC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]OC([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]
[H]C#C[C]
[H][C](C([H])([H])[H])C([H])([H])C([H])=C([H])[H]
O=[N+]([O-])O[N+](=O)[O-]
[H]N=[N+]=[N-]
O=[C]Cl
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
[H]OC([H])([O])C([H])([H])[H]
[Cl-].[H][C+]
ClC(Cl)(Cl)Cl
FF
[H]OC(=C([H])[H])C([H])([H])[H]
[H][Si]([H])=[Si]([H])([H])[H]
[H]C#CC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]OC([H])([H])[C]C([H])([H])C([H])([H])[H]
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C]
[H]C([H])([H])C#[C]
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C1([H])[H]
[H]OO[C]([H])O[H]
[H]C([H])([H])OOC([H])([H])[H]
[H]C([H])([H])O[N+](=O)[O-]
[H][C]([H])C(=C([H])[H])C([H])([H])[H]
[H]O[C](C([H])([H])[H])C([H])([H])C([H])([H])[H]
[H]C1([H])C([H])([H])C([H])(C2([H])C([H])([H])C([H])([H])C2([H])[H])C1([H])[H]
[H]C([H])([H])C([H])([H])C1([H])OC1([H])[H]
F[C](F)Cl
[H][C]=C([H])OO[H]
[H]C([H])([H])C([H])([H])C([H])([H])I
[H]O[C]
[H]OC([H])([H])C(=C([H])[H])C([H])([H])[H]
[H]OON([H])N([H])[H]
[H][C]1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
ClOOCl
[H]C1=C=C([H])C1([H])[H]
[H]C([H])([H])C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
[H]C([H])([H])C([H])([H])Br
[H]OF
[H]C([H])=C(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]C([H])([H])S[S]
[H]C#CC([H])([H])OC([H])([H])[H]
[H]OC(F)(F)F
[H]OOC([H])([H])C([H])=O
O=[C]F
[H]C([H])([H])[H].[H]C([H])([H])[H]
[H][C]([H])c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H]
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])O[O]
[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
[H]C([H])([H])C([H])([H])C([H])([H])O[O]
[H]C([H])=C(F)F
[H]SC([H])=C([H])C([H])([H])[H]
[H]C#C[C](C([H])([H])[H])C([H])([H])[H]
[H][C]1C([H])=C([H])C([H])=C([H])C1([H])[H]
[N-]=[O+]
[H]ON([H])[O]
[H][C]=S
[N-][N+]=O
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C1([H])[H]
[H]C(Cl)=C([H])C([H])([H])[H]
[H]C([H])([H])C(=C(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
[H]C#CC#CC([H])=C([H])[H]
[H]SSSC([H])([H])[H]
[H]OO[N+][O-]
[H]C([H])=C([H])F
[H]O[S]=O
[H]C([H])(Cl)C([H])([H])C([H])([H])Cl
[H]OON([H])O[H]
[Cl-]
[H]C#C[C]([H])C([H])([H])[H]
[C]Cl
[H]F
[H]C(=O)C(=O)C([H])([H])[H]
[H]OOC([H])(O[H])C([H])([H])[H]
[H][C]([H])C([H])=O
FC(F)(F)I
[H]C([H])([H])C([H])([H])[N]
[H]C([H])([H])[C]1OC1([H])[H]
[H]O[C]O[H]
[B]
[H][C]1C([H])=C([H])C([H])([H])C1([H])[H]
[H]OOC([H])([H])OO[H]
[H-]
[H]C([H])([H])C([O])=O
[H][C]([H])C([H])([H])Cl
[H]C#CC([H])=C([H])C#C[H]
Cl[Si](Cl)Cl
[H]OC([H])=C([H])[O]
