cas_number,chemical_formula,hill_sorted_formula,preferred_name,aliases,iupac_name,common_name,userid,dtstamp,inchi,class
-1001030,C3H3ClF3O,C3H3ClF3O,CF3CH(OH)CHCl&middot;,"","",CF3CH(OH)CHCl&middot;,"{""Vadim Knyazev""}","{""2013-09-03 15:58:57.030212""}","",""
-1001031,C3H3ClF3O,C3H3ClF3O,CF3CH(&middot;)CHClOH,"","",CF3CH(&middot;)CHClOH,"{""Vadim Knyazev""}","{""2013-09-03 15:59:09.028156""}","",""
-1001033,Al13H2,H2Al13,Al13H2,"","","","{""Vadim Knyazev""}","{""2013-09-03 16:06:49.249733""}","",""
-1001034,NH2NHO,H3N2O,NH2NHO,"","","","{""Vadim Knyazev""}","{""2013-09-05 13:16:50.786873""}","",""
-1001035,CH3OBr,CH3BrO,CH3OBr,"","","","{""Vadim Knyazev""}","{""2013-09-10 13:44:29.338751""}","",""
-1001036,Si3H6,H6Si3,SiH3SiH2SiH:,"","",SiH3SiH2SiH:,"{""Vadim Knyazev""}","{""2013-09-10 15:19:27.970548""}","",""
-1001037,Si3H6,H6Si3,SiH3SiH=SiH2,"","",SiH3SiH=SiH2,"{""Vadim Knyazev""}","{""2013-09-10 15:19:44.324743""}","",""
-1001038,Si3H6,H6Si3,SiH3Si(:)SiH3,"","",SiH3Si(:)SiH3,"{""Vadim Knyazev""}","{""2013-09-10 15:19:57.051123""}","",""
-1001039,Si4H6,H6Si4,cyclo-SiH2SiH2SiH(SiH:),"","",cyclo-SiH2SiH2SiH(SiH:),"{""Vadim Knyazev""}","{""2013-09-10 15:20:11.93222""}","",""
-1001040,Si4H6,H6Si4,cyclo-SiH2SiH2Si(=SiH2),"","",cyclo-SiH2SiH2Si(=SiH2),"{""Vadim Knyazev""}","{""2013-09-10 15:20:23.01315""}","",""
-1001041,Si3H4,H4Si3,cyclo-SiH2SiH2Si(:),"","",cyclo-SiH2SiH2Si(:),"{""Vadim Knyazev""}","{""2013-09-10 15:20:39.348401""}","",""
