cas_number,chemical_formula,hill_sorted_formula,preferred_name,aliases,iupac_name,common_name,userid,dtstamp,inchi,class
56451,C3H7NO3,C3H7NO3,L-Serine,L-Serine,"",L-Serine,"{""Jeff Hudgens""}","{""2005-01-03 15:00:02""}",,
406393,C4H5F3,C4H5F3,"E/Z-1,1,1-trifluorobut-2-ene","1,1,1-trifluoro-2-butenecis/trans-1,1,1-trifluoro-2-butenecis/trans-1,1,1-trifluorobut-2-ene","E/Z-1,1,1-trifluorobut-2-ene","","{""Jeff Manion""}","{""1999-01-01 12:00:00""}",,
88062,C6H3Cl3O,C6H3Cl3O,"2,4,6-trichlorophenol","2,4,6-trichlorophenol","2,4,6-trichlorophenol","2,4,6-trichlorophenol","{""Jeff Manion""}","{""2005-01-06 15:21:06""}",,
612179,C10H10,C10H10,"1,4-Dihydronaphthalene","1,4-Dihydronaphthalene","1,4-Dihydronaphthalene","","{""Don Burgess""}","{""2005-01-18 14:21:21""}",,
-17055,BrC(CH3)2C(CH3)O3,C5H9BrO3,tertiary-bromo-peroxy radical,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
616137,"",C5H11Cl,CH2ClCH(CH3)CH2CH3,CH2ClCH(CH3)CH2CH3,null,null,{uperuse},"{""2005-03-07 11:12:56""}",,
15119978,BH2N,H2BN,HBNH,HBNH,"",HBNH,"{""Jeff Manion""}","{""2005-01-05 16:46:08""}",,
-16704,CCl2BrCCl2,C2BrCl4,Bromo-tetrachloro-ethyl radical,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-735626,C7H9O3,C7H9O3,"1-methyl-2-hydroxy-1,3-epidixy-cyclohex-4-en-6-yl","1-methyl-2-hydroxy-1,3-epidixy-cyclohex-4-en-6-yl","1-methyl-2-hydroxy-1,3-epidixy-cyclohex-4-en-6-yl","","{""Jeff Hudgens""}","{""2005-02-04 16:25:04""}",,
3228271,HCHO,CH2O,HC(13)HO,Formaldehyde-C13,"",HC(13)HO,"{""Robert E. Huie""}","{""1999-01-01 12:00:00""}",,
-12067,NCCO,C2NO,NCCO,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10314,"",C3H5Cl,trans-CHCl=CHCH3,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10313,"",C5H9Cl,trans-CH3CHClCH=CHCH3,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10312,"",C8H17,t-C8H17,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10310,"",C4H9P,t-C4H9P,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10309,"",C4H9As,t-C4H9As,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10307,"",C10H16O2,pinonaldehyde,"",,,{NULL},"{""2005-01-04 16:39:19""}",,
-345431,C6H3Cl2O,C6H3Cl2O,"2,4-diclhorophenoxy radical","","","2,4-diclhorophenoxy radical","{""Anatoly Tereza""}","{""2008-11-17 12:18:34.38279""}","",""
-10304,"",C3H4,pC3H4,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10302,"",C6H4,p-C6H4,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10301,"",C6H4,o-C6H4,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10298,"","",methylene glycol diformate,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
169127144,BH2N,H2BN,BNH2,BNH2,"",BNH2,"{""Jeff Manion""}","{""2005-01-05 16:49:30""}",,
-6356240,C7H9O5,C7H9O5,"1-methyl-4-hydroxy-3,5-epidixy-cyclohex-6-en-2-dioxyl","1-methyl-4-hydroxy-3,5-epidixy-cyclohex-6-en-2-dioxyl","1-methyl-4-hydroxy-3,5-epidixy-cyclohex-6-en-2-dioxyl","","{""Jeff Hudgens""}","{""2005-02-04 14:41:12""}",,
-10296,"","",methyl benzoylformate,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-2003438295,C10H11,C10H11,"2,4-cyclohexadien-1-yl, 6-(1,3-butadienyl)","6-(1,3-butadienyl)-2,4-cyclohexadien-1-yl,","2,4-cyclohexadien-1-yl, 6-(1,3-butadienyl)",C4H5_C6H6,"{""Jeff Manion""}","{""2006-05-18 15:51:29.113797""}",,
-26439,HC(O)OCH2CH2OC2H5,C5H10O3,ethoxy ethylformate,"","",ethoxy ethylformate,"{""Dean Atkinson""}","{""2005-11-11 14:19:39""}",,
-10294,"",C6H4,m-C6H4,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
4382756,HC(O)OCH2OCH3,C3H6O3,"","","",Methoxymethyl formate,"{""Dean Atkinson""}","{""2005-11-11 13:34:20""}",,
-48099,C4B,C4B,CCCCB,"","",CCCCB,"{""Jeff Hudgens""}","{""2005-08-23 09:47:21""}",,
-10290,"","",ethylene glycol diformate,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-48098,C4B,C4B,CCBCC,"","",CCBCC,"{""Jeff Hudgens""}","{""2005-08-23 09:47:38""}",,
-110054,C2H2FO2,C2H2FO2,&middot;C(O)OCH2F,&middot;C(O)OCH2F,"",&middot;C(O)OCH2F,"{""Jeff Manion""}","{""2005-01-10 18:26:06""}",,
-10289,"",C3H4O3,ethylene carbonate,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-110053,C2HF2O2,C2HF2O2,&middot;C(O)OCHF2,&middot;C(O)OCHF2,"",&middot;C(O)OCHF2,"{""Jeff Manion""}","{""2005-01-10 18:26:42""}",,
-110052,C2H2F2O2,C2H2F2O2,HC(O)OCHF2,HC(O)OCHF2,"",HC(O)OCHF2,"{""Jeff Manion""}","{""2005-01-10 17:54:47""}",,
-10288,"","",epoxy butene,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-110051,C2H3FO2,C2H3FO2,HC(O)OCH2F,HC(O)OCH2F,"",HC(O)OCH2F,"{""Jeff Manion""}","{""2005-01-10 17:53:33""}",,
-107052,C3H2F5O,C3H2F5O,&middot;CH2OCF2CF3,&middot;CH2OCF2CF3,"",&middot;CH2OCF2CF3,"{""Jeff Manion""}","{""2005-01-07 15:38:15""}",,
-10287,"","",di-sec-butoxymethane,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-107051,C2H4O,C2H4O,CH3C(OH),CH3C(OH),"",CH3C(OH),"{""Jeff Manion""}","{""2005-01-07 12:42:02""}",,
-106059,C4H6Cl,C4H6Cl,CH2C(CH3)CHCl(&middot;),CH2C(CH3)CHCl(&middot;),"",CH2C(CH3)CHCl(&middot;),"{""Jeff Manion""}","{""2005-01-06 11:17:45""}",,
-10286,"","",di-i-propoxymethane,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-106058,C4H6Cl,C4H6Cl,CH2CHCCl(&middot;)CH3,CH2CHCCl(&middot;)CH3,"",CH2CHCCl(&middot;)CH3,"{""Jeff Manion""}","{""2005-01-06 11:16:05""}",,
-106057,C4H5ClO,C4H5ClO,CH2=CHC(O)CH2Cl,CH2=CHC(O)CH2Cl,"",CH2=CHC(O)CH2Cl,"{""Jeff Manion""}","{""2005-01-06 11:13:41""}",,
-10285,"","",delta^3-carene,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-106056,C5H8ClO,C5H8ClO,&middot;OCH2C(CH3)=CHCH2Cl,&middot;OCH2C(CH3)=CHCH2Cl,"",&middot;OCH2C(CH3)=CHCH2Cl,"{""Jeff Manion""}","{""2005-01-06 11:10:12""}",,
-106055,C5H8ClO,C5H8ClO,&middot;OCH2CH=C(CH3)CH2Cl,&middot;OCH2CH=C(CH3)CH2Cl,"",&middot;OCH2CH=C(CH3)CH2Cl,"{""Jeff Manion""}","{""2005-01-06 11:06:40""}",,
-10283,"",C5H9Cl,cis-CH3CHClCH=CHCH3,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-106054,C5H8ClO,C5H8ClO,CH2=C(CH3)CH(O&middot;)CH2Cl,CH2=C(CH3)CH(O&middot;)CH2Cl,"",CH2=C(CH3)CH(O&middot;)CH2Cl,"{""Jeff Manion""}","{""2005-01-06 11:01:59""}",,
-106053,C5H8ClO,C5H8ClO,CH2=C(CH3)CH(Cl)CH2O&middot;,CH2=C(CH3)CH(Cl)CH2O&middot;,"",CH2=C(CH3)CH(Cl)CH2O&middot;,"{""Jeff Manion""}","{""2005-01-06 11:00:13""}",,
-10280,"",C4H10Si,c-SiH2CH2C(CH3)2,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-106052,C5H8ClO,C5H8ClO,CH2=CHC(CH3)(Cl)CH2O&middot;,CH2=CHC(CH3)(Cl)CH2O&middot;,"",CH2=CHC(CH3)(Cl)CH2O&middot;,"{""Jeff Manion""}","{""2005-01-06 10:58:45""}",,
194145761,SiH2Si,H2Si2,Si(H2)Si,"",Di-?mu?-hydrodisilicon,Si(H2)Si,"{""Don Burgess""}","{""2004-11-30 14:47:51""}",,
-10279,"",C4H10Si,c-Si(CH3)2CH2CH2,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10278,"",C14H11NO2,c-NO2-C6H4-CH=CH(C6H5),"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10277,"",C7H12,c-CH3-C6H9,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10276,"",C7H13,c-CH2-C6H11,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10275,"",C7H12,c-C7H12,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10272,"",C5H6NO,c-C4H4C(OH)NH,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10271,"",C5H5NO,c-C4H4C(O)NH,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10269,"",C3F6O,c-C3F6O,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10268,"",C4O,c-C2-C2O,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10266,"",C12H20O2,bornyl acetate,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10263,"",C15H24,alpha-neoclovene,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10262,"",C15H24,alloisolongifolene,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10260,"",C3H4,aC3H4,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10258,"",O2Yb,YbO2,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-106051,C5H8ClO,C5H8ClO,CH2=CHC(CH3)(O&middot;)CH2Cl,CH2=CHC(CH3)(O&middot;)CH2Cl,"",CH2=CHC(CH3)(O&middot;)CH2Cl,"{""Jeff Manion""}","{""2005-01-06 10:57:09""}",,
666816462,Si2H4Cl,H4ClSi2,SiH2ClSiH2(&middot;),"",2-Chlorodisilanyl,SiH2ClSiH2(&middot;),"{""Don Burgess""}","{""2004-12-17 14:34:42""}",,
-10257,"",F4OXe,XeOF4,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
666816553,Ge2Cl5,Cl5Ge2,Ge2Cl5,"",Pentachlorodigermanyl,Ge2Cl5,"{""Don Burgess""}","{""2004-12-17 14:36:23""}",,
719287237,C3S2,C3S2,S=C-S-C#C,"",(Thioxomethylene)thioethenyl,S=C-S-C#C,"{""Don Burgess""}","{""2004-12-27 13:22:31""}",,
-10256,"",CH3Cl2Sn,SnCl2CH3,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
70302000,C2HF,C2HF,FCH=C:,FCH=C:,"",FCH=C:,"{""Jeff Manion""}","{""2005-02-04 15:35:23""}",,
195524697,C5H2,C5H2,2-cyclopropen-1-ylidene-ethenylidene,2-cyclopropen-1-ylidene-ethenylidene,2-cyclopropen-1-ylidene-ethenylidene,3-(didehydrovinylidene)cyclopropene,"{""Jeff Hudgens""}","{""2005-02-03 18:07:43""}",,
-10252,"",CH4F2Si,SiH3-CF2H,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-6532,C7H9O,C7H9O,"1-methyl-2-hydroxy-3,5-cyclohexadienyl","1-methyl-2-hydroxy-3,5-cyclohexadienyl","1-methyl-2-hydroxy-3,5-cyclohexadienyl","","{""Jeff Hudgens""}","{""2005-02-03 18:54:18""}",,
-6533,C7H9O,C7H9O,"1-methyl-4-hydroxy-1,5-cyclohexadienyl","1-methyl-4-hydroxy-1,5-cyclohexadienyl","1-methyl-4-hydroxy-1,5-cyclohexadienyl","","{""Jeff Hudgens""}","{""2005-02-04 14:22:03""}",,
-10251,"",H4ClNSi,SiH2ClNH2,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-635619,C7H9O3,C7H9O3,"1-methyl-2-hydroxy-cyclohex-3,5-dien-1-yl-dioxyl","1-methyl-2-hydroxy-cyclohex-3,5-dien-1-yl-dioxyl","1-methyl-2-hydroxy-cyclohex-3,5-dien-1-yl-dioxyl","","{""Jeff Hudgens""}","{""2005-02-03 18:56:53""}",,
-635620,C7H9O3,C7H9O3,"1-methyl-2-hydroxy-cyclohex-3,5-dien-1-yl-dioxyl","1-methyl-2-hydroxy-cyclohex-3,5-dien-1-yl-dioxyl","1-methyl-2-hydroxy-cyclohex-4,6-dien-1-dioxyl","","{""Jeff Hudgens""}","{""2005-02-04 10:56:16""}",,
-10244,"",C5H10O2,OCHOCH2CH2CH2CH3,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-112054,C8H9,C8H9,C6H4CH2CH3,C6H4CH2CH3,"",C6H4CH2CH3,"{""Jeff Manion""}","{""2005-01-12 14:37:09""}",,
-112053,C7H7,C7H7,C6H4CH3,C6H4CH3,"",C6H4CH3,"{""Jeff Manion""}","{""2005-01-12 12:48:21""}",,
-10242,"",C5H11O2,OCH2OCH2CH2CH2CH3,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-112052,C8H10O2,C8H10O2,C6H5CH(OOH)CH3,C6H5CH(OOH)CH3,"",C6H5CH(OOH)CH3,"{""Jeff Manion""}","{""2005-01-12 12:08:18""}",,
-112051,C7H7O2,C7H7O2,C6H5CH(&middot)OOH,C6H5CH(&middot)OOH,"",C6H5CH(&middot)OOH,"{""Jeff Manion""}","{""2005-01-12 12:02:41""}",,
-10154,"",C5H10O,CH3CHCH2CH2CHOH,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-1060510,C4H6Cl,C4H6Cl,CH2ClCH=C(&middot;)CH3,CH2ClCH=C(&middot;)CH3,"",CH2ClCH=C(&middot;)CH3,"{""Jeff Manion""}","{""2005-01-06 11:21:53""}",,
-110055,C2F3O2,C2F3O2,&middot;C(O)OCF3,&middot;C(O)OCF3,"",&middot;C(O)OCF3,"{""Jeff Manion""}","{""2005-01-10 18:26:28""}",,
514210812,C3H5O2,C3H5O2,Cyclopropyldioxy,"",Cyclopropyldioxy,c-C3H5O2,"{""Don Burgess""}","{""2004-11-05 13:45:44""}",,
-10239,"",C3H7O,OCH(CH3)2,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
583831565,C2HNO2,C2HNO2,Oxazetone,cyclic -ON=CH-C(O)-,"4H-1,2-Oxazet-4-one",Oxazetone,"{""Don Burgess""}","{""2004-12-07 13:06:13""}",,
590389121,C4H8O3,C4H8O3,CH2=CH-C(OH)(OOH)-CH3,Methylvinyl alpha-hydroxyhydroxperoxy,2-Hydroperoxy-3-buten-2-ol,CH2=CH-C(OH)(OOH)-CH3,"{""Don Burgess""}","{""2004-11-29 12:23:12""}",,
-10238,"",O2,O2(36),"",,,{NULL},"{""1999-01-01 12:00:00""}",,
590389143,C4H8O3,C4H8O3,CH2=C(CH3)-CH(OH)(OOH),2-Propenyl alpha-hydroxyhydroperoxy,1-Hydroperoxy-2-methyl-2-propen-1-ol,CH2=C(CH3)-CH(OH)(OOH),"{""Don Burgess""}","{""2004-11-29 12:22:51""}",,
610283211,C8H7,C8H7,"Spiro[2.5]octa-1,5,7-trien-4-yl","","Spiro[2.5]octa-1,5,7-trien-4-yl","","{""Don Burgess""}","{""2004-12-13 15:29:26""}",,
-10237,"",O2,O2(32),"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10236,"",O3,O(18)O2(32),"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10235,"",O3,O(16)O2(36),"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10234,"",C14H11NO2,NO2-C6H4-CH=CH(C6H5),"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10232,"",HDN,NHD,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10230,"",N,N(P),"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10229,"",N,N(D),"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10228,"",Mu,Mu,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10226,"",LiNO,LiNO,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10224,"",KNO,KNO,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-1060511,C4H6Cl,C4H6Cl,&middot;CH=C(CH3)CH2Cl,&middot;CH=C(CH3)CH2Cl,"",&middot;CH=C(CH3)CH2Cl,"{""Jeff Manion""}","{""2005-01-06 12:16:07""}",,
-10220,"",C15H24,ISOLONGIFOLENE,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10217,"",HO2S,HOSO,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10216,"",C5H9O,HOCH2CHCCH3=CH2,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
610322128,C6H6O3,C6H6O3,Benzene primary ozonide,"","3a,7a-Dihydrobenzotrioxole",Benzene primary ozonide,"{""Don Burgess""}","{""2004-12-07 11:25:04""}",,
610322139,C6H6O4,C6H6O4,"Phenol primary 2,3-ozonide","","3a,7a-Dihydro-4-benzotrioxol","Phenol primary 2,3-ozonide","{""Don Burgess""}","{""2004-12-07 11:33:13""}",,
-10215,"",C5H11O3,HOCH2CH(OH)OCHCH2(CH3),"",,,{NULL},"{""1999-01-01 12:00:00""}",,
610322140,C6H6O4,C6H6O4,"Phenol primary 3,4-ozonide","","3a,7a-Dihydro-5-benzotrioxol","Phenol primary 3,4-ozonide","{""Don Burgess""}","{""2004-12-07 11:33:40""}",,
619323885,CH2CH(OH)CH2CH2CH3,C5H11O,(&middot;)CH2CH(OH)CH2CH2CH3,"",2-Hydroxypentyl,(&middot;)CH2CH(OH)CH2CH2CH3,"{""Don Burgess""}","{""2004-11-22 11:52:07""}",,
-10214,"",C5H11O3,HOCH2CH(O)OCH(CH3)2,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
619325949,(CH3)AlAl(CH3)2,C3H9Al2,(CH3)AlAl(CH3)2,"",Methylaluminum dimethylaluminum,"","{""Don Burgess""}","{""2004-05-18 12:21:12""}",,
623565946,CH2C(CH3)CH2CH(OH),C5H9O,CH2=C(CH3)CH2CH(OH)(&middot;),"",1-Hydroxy-3-methyl-3-butenyl,CH2=C(CH3)CH2CH(OH)(&middot;),"{""Don Burgess""}","{""2004-12-03 17:21:24""}",,
-10213,"",C3H7O2,HOCH2CH(O)CH3,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
625114376,C2H4BrO,C2H4BrO,CH3CBr(OH)(&middot;),"",1-Bromo-1-hydroxyethyl,CH3CBr(OH)(&middot;),"{""Don Burgess""}","{""2004-12-09 15:29:17""}",,
635315398,BH2OBHCH3,CH6B2O,BH2OBHCH3,"",(Boryloxy)methylborane,BH2OBHCH3,"{""Don Burgess""}","{""2004-11-22 14:59:13""}",,
-10212,"",C5H9O2,HOCH2CH(O)CCH3=CH2,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
663164383,HCOC,C2HO,c-HCOC(&middot;),"",Oxirenyl,c-HCOC(&middot;),"{""Don Burgess""}","{""2004-11-22 14:43:05""}",,
410095817,C6H5CH2CHCH,C9H9,C6H5CH2CH=CH(&middot;),"",3-Phenyl-1-propenyl,C6H5CH2CH=CH(&middot;),"{""Don Burgess""}","{""2004-11-10 14:21:58""}",,
-1060512,Cl2O4,Cl2O4,ClOClO3,ClOClO3,"",ClOClO3,"{""Jeff Manion""}","{""2005-01-06 14:01:59""}",,
422506681,CH2(OH)BH,CH4BO,CH2(OH)BH*,"",(Hydroxymethyl)boryl,CH2(OH)BH*,"{""Don Burgess""}","{""2004-05-19 11:36:29""}",,
422506692,CH3B(OH),CH4BO,CH3B*(OH),"",Hydroxy(methyl)boryl,CH3B*(OH),"{""Don Burgess""}","{""2004-05-19 11:38:10""}",,
-10210,"",C5H10O2,HOCH2C(O)CH(CH3)2,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
422506705,CH3OBH,CH4BO,CH3OBH*,"",Methoxyboryl,CH3OBH*,"{""Don Burgess""}","{""2004-06-21 17:42:23""}",,
422506716,CH2=B(OH),CH3BO,CH2=B(OH),"",Hydroxymethyleneborane,CH2=B(OH),"{""Don Burgess""}","{""2004-05-19 11:47:40""}",,
-10209,"",C5H9O3,HOCH2=CH(O2)C(CH3)=CH2,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
422506727,CH2BO,CH2BO,*CH2B=O,"",Oxoborylmethyl,*CH2B=O,"{""Don Burgess""}","{""2004-05-19 11:42:39""}",,
425371308,W2-C2H4,C2H4W2,W2-C2H4,"",W2 Ethene compound,"","{""Don Burgess""}","{""2004-05-18 12:07:16""}",,
-10207,"",H3O4,HO3-H2O,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
425371319,W2-NH3,H3NW2,W2-NH3,"",W2 Ammonia compound,"","{""Don Burgess""}","{""2004-05-18 12:07:55""}",,
425602411,YCHO,CHOY,YCHO,cyclic -(Y-C=O)-,(formyl)Yttrium,"","{""Don Burgess""}","{""2004-06-16 16:02:13""}",,
-10206,"",HO3,HO3,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
437762351,CH3BHO,CH4BO,CH3BHO*,"",Methylboryloxy,CH3BHO*,"{""Don Burgess""}","{""2004-05-19 11:40:27""}",,
438543921,C3H6Br,C3H6Br,CH3CH2CHBr(&middot;),"",1-Bromopropyl,CH3CH2CHBr(&middot;),"{""Don Burgess""}","{""2004-12-09 14:02:17""}",,
-10205,"",H2NO5,HO2-HNO3,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
443690184,CH2ClI,CH2ClI,CH2Cl-I,iso-iodo-chloromethane ;,iodochloronium methylide,CH2Cl-I,"{""Don Burgess""}","{""2004-05-20 13:12:33""}",,
-10204,"",H2NO4,HO-HNO3,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-1060513,ClO4,ClO4,ClO4,ClO4,"",ClO4,"{""Jeff Manion""}","{""2005-01-06 14:38:40""}",,
-10200,"",H2FLiSi,H2SiLiF,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-2233476,C6H9N3,C6H9N3,N-ethyl-2-aminopyrazine,N-ethyl-2-aminopyrazine,"",N-ethyl-2-aminopyrazine,"{""Jeff Hudgens""}","{""2005-01-03 13:59:06""}",,
-10194,"",DBrO,DOBr,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10193,"",C2H6ClS,ClS(CH3)2,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10191,"",H2Cl4Si2,Cl2(H)SiSiHCl2,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10189,"",H3Cl3Si2,Cl(H)2SiSiHCl2,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10187,"",H2Cl4Si2,Cl(H)2SiSiCl3,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10186,"",C3H5Cl,CIS-CH3CH=CHCl,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10185,"",C2H3ClO,CHOH=CHCl,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
-10183,"",CHD2NO2,CHD2ONO,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
474380080,Al(CH3)Al(CH3)2,C3H9Al2,Al(CH3)Al(CH3)2,"",Aluminum trimethylaluminum,"","{""Don Burgess""}","{""2004-05-18 12:22:52""}",,
492470505,SiH2C2D4,C2H2D4Si,SiH2C2D4,"","Silacyclopropane-2,2,3,3-d4","","{""Don Burgess""}","{""2004-05-18 17:21:40""}",,
-10182,"",C2H4ClO,CHClOHCH2,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
497952360,CH2ICl,CH2ClI,CH2I-Cl,iso-chloro-iodomethane ;,chloroiodonium methylide,CH2I-Cl,"{""Don Burgess""}","{""2004-05-20 13:13:07""}",,
500777480,YD(CD3),CD4Y,YD(CD3),"",Hydromethyl Yttrium-d4,YD(CD3),"{""Don Burgess""}","{""2004-06-16 16:07:00""}",,
-10181,"",C2H4ClO,CHClCH2OH,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
311809117,C8H7,C8H7,"Bicyclo[4.2.0]octa-2,4,6-trien-1-yl","","Bicyclo[4.2.0]octa-2,4,6-trien-1-yl","","{""Don Burgess""}","{""2004-12-13 15:30:27""}",,
312962304,CH2IBr,CH2BrI,CH2I-Br,iso-bromo-iodomethane ;,bromoiodonium methylide,CH2I-Br,"{""Don Burgess""}","{""2004-05-20 13:11:52""}",,
-2243876,C8H13N3,C8H13N3,N-t-butyl-2-aminopyrazine,N-t-butyl-2-aminopyrazine,"",N-t-butyl-2-aminopyrazine,"{""Jeff Hudgens""}","{""2005-01-03 14:03:00""}",,
312962315,CH2BrI,CH2BrI,CH2Br-I,iso-iodo-bromomethane ;,iodobromonium methylide,CH2Br-I,"{""Don Burgess""}","{""2004-05-20 13:11:10""}",,
325135340,C8H7,C8H7,"Bicyclo[4.2.0]octa-2,4,7-trien-1-yl","","Bicyclo[4.2.0]octa-2,4,7-trien-1-yl","","{""Don Burgess""}","{""2004-12-13 15:30:04""}",,
-10174,"",C8H10,CHC(CH2)4CCH,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
325726872,CH2(OH)C(CH3)CHCH2,C5H9O,CH2(OH)C(CH3)=CHCH2(&middot;),"",4-Hydroxy-3-methyl-2-butenyl,CH2(OH)C(CH3)=CHCH2(&middot;),"{""Don Burgess""}","{""2004-12-03 17:52:39""}",,
325726894,CH2(OH)CHC(CH3)CH2,C5H9O,CH2(OH)CH=C(CH3)CH2(&middot;),"",4-Hydroxy-2-methyl-2-butenyl,CH2(OH)CH=C(CH3)CH2(&middot;),"{""Don Burgess""}","{""2004-12-03 17:11:46""}",,
-10172,"",CH3FS,CH3SF,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
343929602,C6H6O4,C6H6O4,"Phenol primary 1,2-ozonide","","3a,7a-Dihydro-4-benzotrioxolol","Phenol primary 1,2-ozonide","{""Don Burgess""}","{""2004-12-07 11:32:33""}",,
385441623,CCCHS,C3HS,(&middot;)C#C-CH=S,"",3-Thioxy-1-propynyl,(&middot;)C#C-CH=S,"{""Don Burgess""}","{""2004-11-30 13:14:49""}",,
-10171,"",C2H3O2,CH3OCO,"",,,{NULL},"{""1999-01-01 12:00:00""}",,
385441634,HSCCC,C3HS,HS-C#C-C(&middot;),"",3-Mercapto-2-propynylidyne,HS-C#C-C(&middot;),"{""Don Burgess""}","{""2004-11-30 13:16:59""}",,
385441656,C3HS,C3HS,(cyc-SCHC)-C(&middot;),"",Thiirenylmethylidyne,(cyc-SCHC)-C(&middot;),"{""Don Burgess""}","{""2004-11-30 13:21:00""}",,
393794519,GeH2CH3,CH5Ge,*GeH2CH3,"",Methylgermyl,*GeH2CH3,"{""Don Burgess""}","{""2004-05-17 18:46:19""}",,
393794520,GeH(CH3)2,C2H7Ge,*GeH(CH3)2,"",Dimethylgermyl,*GeH(CH3)2,"{""Don Burgess""}","{""2004-06-16 18:03:25""}",,
397886383,C2H4BrO,C2H4BrO,CH3CHBrO(&middot;),"",1-Bromoethoxy,CH3CHBrO(&middot;),"{""Don Burgess""}","{""2004-12-09 15:25:48""}",,
